NUM_INCIDENTI,MORTI,FERITI,LUNGHEZZA,MAXSPEED,LOCINC,INTNIN,FONDOST,PERICOLOSITA
1,0,1,-0.1549916911326653,-0.5600132980515135,1,7,1,1
1,0,2,13.664088876893024,1.6809222680485287,5,7,2,1
1,0,1,-0.0516325227199413,1.6809222680485287,5,8,3,1
2,0,3,0.2332703876074933,-0.5600132980515135,1,1,1,1
5,0,7,0.1722671154429804,-0.5600132980515135,1,7,1,1
1,0,1,0.3847696173148367,1.6809222680485287,5,7,1,1
1,0,1,-0.0918594237102016,-0.5600132980515135,1,7,1,1
4,0,10,7.961351980166675,1.6809222680485287,6,7,1,1
1,0,1,-0.2154085334656469,-0.5600132980515135,1,1,1,1
1,0,1,-0.1480037058420265,-0.5600132980515135,1,7,1,1
2,0,2,-0.0031027223447389,-0.5600132980515135,1,3,1,1
1,0,1,5.768612528012814,1.6809222680485287,5,3,1,1
1,0,1,0.0339425236278655,-0.5600132980515135,1,7,1,1
1,0,1,-0.2462161329382676,1.6809222680485287,5,7,1,1
1,0,1,-0.1737264851604998,-0.5600132980515135,1,1,1,1
1,0,1,-0.0687336907885099,1.6809222680485287,5,1,1,1
1,0,1,-0.0578993085904359,-0.5600132980515135,1,7,1,1
1,0,1,0.1887909597333024,1.6809222680485287,5,7,1,1
1,0,1,0.2506228827467183,1.6809222680485287,6,3,1,1
1,0,1,-0.19686496655679,-0.5600132980515135,1,7,1,1
1,0,1,0.4454869594062118,1.6809222680485287,5,7,1,1
2,0,2,0.0759378201660045,-0.5600132980515135,1,1,1,1
3,0,7,0.6937361840522815,-0.5600132980515135,1,7,1,1
3,0,7,0.6642671744125045,1.6809222680485287,4,7,1,1
1,0,1,-0.1378759533788412,-0.5600132980515135,1,1,1,1
1,0,2,0.2358291885804794,-0.5600132980515135,1,1,1,1
2,0,2,0.1144600679813788,1.6809222680485287,6,7,1,1
1,0,1,-0.0940576249731157,-0.5600132980515135,1,8,1,1
1,0,2,-0.0697845293375583,1.6809222680485287,5,8,1,1
